Name,Longitude,Latitude,Catenary
151.1964198_-33.868837,151.1964198,-33.868837,0
151.2070754_-33.8801401,151.2070754,-33.8801401,0
151.9480466_-27.573679499999997,151.9480466,-27.5736795,1
153.0118785_-27.5267477,153.0118785,-27.5267477,1
153.00315669999998_-27.5259447,153.0031567,-27.5259447,1
144.99387769999998_-37.8302679,144.9938777,-37.8302679,1
153.13842830000002_-30.2993999,153.1384283,-30.2993999,1
153.0169139_-27.4579858,153.0169139,-27.4579858,1
153.01603169999998_-27.4651858,153.0160317,-27.4651858,1
153.01665319999998_-27.463711100000005,153.0166532,-27.4637111,1
153.0328976_-27.456906099999998,153.0328976,-27.4569061,1
153.0331517_-27.4483646,153.0331517,-27.4483646,1
153.03352180000002_-27.443969300000003,153.0335218,-27.4439693,1
153.0356111_-27.444150800000003,153.0356111,-27.4441508,1
153.0354799_-27.4382336,153.0354799,-27.4382336,1
153.03765019999997_-27.4419279,153.0376502,-27.4419279,1
153.0492555_-27.415488,153.0492555,-27.415488,1
153.062465_-27.421940999999997,153.062465,-27.421941,1
153.0843907_-27.4297185,153.0843907,-27.4297185,1
151.19101840000002_-33.9324425,151.1910184,-33.9324425,1
151.1704559_-33.922098,151.1704559,-33.922098,1
151.17792749999998_-33.5829912,151.1779275,-33.5829912,1
151.2950169_-33.4968704,151.2950169,-33.4968704,0
151.1969824_-33.5528849,151.1969824,-33.5528849,1
151.0715508_-33.8923496,151.0715508,-33.8923496,0
151.0681115_-33.888198100000004,151.0681115,-33.8881981,1
151.14737230000003_-33.879178499999995,151.1473723,-33.8791785,1
151.1451506_-33.8837061,151.1451506,-33.8837061,1
144.7940667_-37.730292799999994,144.7940667,-37.7302928,1
144.8634159_-37.799232399999994,144.8634159,-37.7992324,1
144.8900178_-37.802351200000004,144.8900178,-37.8023512,1
144.9368369_-37.802738399999996,144.9368369,-37.8027384,1
144.94214780000001_-37.807575,144.9421478,-37.807575,1
151.1934804_-33.8669032,151.1934804,-33.8669032,1
145.0545361_-37.854598200000005,145.0545361,-37.8545982,1
145.05860080000002_-37.859702500000004,145.0586008,-37.8597025,1
145.0612882_-37.8669685,145.0612882,-37.8669685,1
145.0664582_-37.8750027,145.0664582,-37.8750027,1
145.1565643_-37.8779477,145.1565643,-37.8779477,1
145.1196571_-37.875116999999996,145.1196571,-37.875117,1
145.0797639_-37.8769284,145.0797639,-37.8769284,0
145.0718132_-37.877484,145.0718132,-37.877484,1
145.1327691_-37.8752345,145.1327691,-37.8752345,1
152.99821210000002_-27.5279436,152.9982121,-27.5279436,1
153.0018415_-27.5275978,153.0018415,-27.5275978,1
145.08054040000002_-37.851580299999995,145.0805404,-37.8515803,1
145.08249840000002_-37.8592985,145.0824984,-37.8592985,1
145.0420405_-37.889686,145.0420405,-37.889686,1
145.038226_-37.910223200000004,145.038226,-37.9102232,1
172.6570924_-43.419457200000004,172.6570924,-43.4194572,1
