Name,Longitude,Latitude,Catenary
4.354247125378726_51.87634213558934,4.354247125,51.87634214,1
4.355233512313273_51.876408515110725,4.355233512,51.87640852,1
4.442573076920332_51.89620581896318,4.442573077,51.89620582,0
4.514447461059589_51.89960635851382,4.514447461,51.89960636,1
4.786756389282053_51.59568526839278,4.786756389,51.59568527,1
4.867079960936101_52.39127084540921,4.867079961,52.39127085,1
4.868210287649448_52.39092446603172,4.868210288,52.39092447,1
4.868556529472031_52.39061170118105,4.868556529,52.3906117,1
4.869092383207482_52.390372322562406,4.869092383,52.39037232,1
4.8694714189229575_52.390211662370056,4.869471419,52.39021166,1
4.869827224079971_52.390077655846376,4.869827224,52.39007766,1
4.870247341562377_52.38993853637134,4.870247342,52.38993854,1
4.870732186384699_52.389796444142426,4.870732186,52.38979644,1
4.871081694193945_52.38970305772433,4.871081694,52.38970306,1
4.871546544097546_52.38959855143437,4.871546544,52.38959855,1
4.871630163738809_52.39004160416532,4.871630164,52.3900416,1
5.672399229770332_52.02787783499498,5.67239923,52.02787783,1
5.672937554314623_52.02778111955404,5.672937554,52.02778112,1
5.673420106492857_52.027692482868645,5.673420106,52.02769248,1
5.67403336980702_52.027571437881804,5.67403337,52.02757144,1
5.675492412102469_52.02727769806671,5.675492412,52.0272777,1
5.6763862656291515_52.027110823372155,5.676386266,52.02711082,1
5.679545474955587_52.02653694146236,5.679545475,52.02653694,1
5.680317791586934_52.02639858857287,5.680317792,52.02639859,1
5.680897153322929_52.02627259477863,5.680897153,52.02627259,1
5.961794317811106_50.89426076467587,5.961794318,50.89426076,1
5.962683157186342_50.893892616370984,5.962683157,50.89389262,1
5.963219335426328_50.89367073357192,5.963219335,50.89367073,1
5.963629702927181_50.893508667666445,5.963629703,50.89350867,1
5.964642665701008_50.893149971239325,5.964642666,50.89314997,1
5.9653048257168155_50.892925040701655,5.965304826,50.89292504,1
5.966978743706366_50.89235750362882,5.966978744,50.8923575,1
5.968265323930145_50.89192484454234,5.968265324,50.89192484,1
5.968647798559003_50.891805454655405,5.968647799,50.89180545,1
6.880411091695667_52.22153050832346,6.880411092,52.22153051,1
